CustomerID,Genre,Age,Annual Income (k$),Spending Score (1-100), cluster group
1,Male,19,15,39,9
2,Male,21,15,81,6
3,Female,20,16,6,7
4,Female,23,16,77,6
5,Female,31,17,40,9
6,Female,22,17,76,6
7,Female,35,18,6,7
8,Female,23,18,94,15
9,Male,64,19,3,7
10,Female,30,19,72,6
11,Male,67,19,14,7
12,Female,35,19,99,15
13,Female,58,20,15,7
14,Female,24,20,77,6
15,Male,37,20,13,7
16,Male,22,20,79,6
17,Female,35,21,35,9
18,Male,20,21,66,6
19,Male,52,23,29,9
20,Female,35,23,98,15
21,Male,35,24,35,9
22,Male,25,24,73,6
23,Female,46,25,5,7
24,Male,31,25,73,6
25,Female,54,28,14,14
26,Male,29,28,82,12
27,Female,45,28,32,9
28,Male,35,28,61,6
29,Female,40,29,31,10
30,Female,23,29,87,12
31,Male,60,30,4,7
32,Female,21,30,73,6
33,Male,53,33,4,7
34,Male,18,33,92,12
35,Female,49,33,14,14
36,Female,21,33,81,12
37,Female,42,34,17,14
38,Female,30,34,73,6
39,Female,36,37,26,10
40,Female,20,37,75,12
41,Female,65,38,35,10
42,Male,24,38,92,12
43,Male,48,39,36,10
44,Female,31,39,61,1
45,Female,49,39,28,10
46,Female,24,39,65,1
47,Female,50,40,55,1
48,Female,27,40,47,1
49,Female,29,40,42,10
50,Female,31,40,42,10
51,Female,49,42,52,1
52,Male,33,42,60,1
53,Female,31,43,54,1
54,Male,59,43,60,1
55,Female,50,43,45,1
56,Male,47,43,41,1
57,Female,51,44,50,1
58,Male,69,44,46,1
59,Female,27,46,51,1
60,Male,53,46,46,1
61,Male,70,46,56,1
62,Male,19,46,55,1
63,Female,67,47,52,1
64,Female,54,47,59,1
65,Male,63,48,51,1
66,Male,18,48,59,1
67,Female,43,48,50,1
68,Female,68,48,48,1
69,Male,19,48,59,1
70,Female,32,48,47,1
71,Male,70,49,55,1
72,Female,47,49,42,1
73,Female,60,50,49,1
74,Female,60,50,56,1
75,Male,59,54,47,0
76,Male,26,54,54,1
77,Female,45,54,53,1
78,Male,40,54,48,1
79,Female,23,54,52,1
80,Female,49,54,42,0
81,Male,57,54,51,1
82,Male,38,54,55,1
83,Male,67,54,41,0
84,Female,46,54,44,0
85,Female,21,54,57,1
86,Male,48,54,46,0
87,Female,55,57,58,1
88,Female,22,57,55,0
89,Female,34,58,60,1
90,Female,50,58,46,0
91,Female,68,59,55,0
92,Male,18,59,41,0
93,Male,48,60,49,0
94,Female,40,60,40,0
95,Female,32,60,42,0
96,Male,24,60,52,0
97,Female,47,60,47,0
98,Female,27,60,50,0
99,Male,48,61,42,0
100,Male,20,61,49,0
101,Female,23,62,41,0
102,Female,49,62,48,0
103,Male,67,62,59,0
104,Male,26,62,55,0
105,Male,49,62,56,0
106,Female,21,62,42,0
107,Female,66,63,50,0
108,Male,54,63,46,0
109,Male,68,63,43,0
110,Male,66,63,48,0
111,Male,65,63,52,0
112,Female,19,63,54,0
113,Female,38,64,42,0
114,Male,19,64,46,0
115,Female,18,65,48,0
116,Female,19,65,50,0
117,Female,63,65,43,0
118,Female,49,65,59,0
119,Female,51,67,43,0
120,Female,50,67,57,0
121,Male,27,67,56,0
122,Female,38,67,40,0
123,Female,40,69,58,0
124,Male,39,69,91,2
125,Female,23,70,29,3
126,Female,31,70,77,5
127,Male,43,71,35,0
128,Male,40,71,95,2
129,Male,59,71,11,4
130,Male,38,71,75,5
131,Male,47,71,9,4
132,Male,39,71,75,5
133,Female,25,72,34,0
134,Female,31,72,71,5
135,Male,20,73,5,4
136,Female,29,73,88,2
137,Female,44,73,7,4
138,Male,32,73,73,5
139,Male,19,74,10,4
140,Female,35,74,72,5
141,Female,57,75,5,4
142,Male,32,75,93,2
143,Female,28,76,40,0
144,Female,32,76,87,2
145,Male,25,77,12,4
146,Male,28,77,97,2
147,Male,48,77,36,3
148,Female,32,77,74,5
149,Female,34,78,22,3
150,Male,34,78,90,2
151,Male,43,78,17,3
152,Male,39,78,88,2
153,Female,44,78,20,3
154,Female,38,78,76,5
155,Female,47,78,16,3
156,Female,27,78,89,2
157,Male,37,78,1,4
158,Female,30,78,78,5
159,Male,34,78,1,4
160,Female,30,78,73,5
161,Female,56,79,35,3
162,Female,29,79,83,2
163,Male,19,81,5,4
164,Female,31,81,93,2
165,Male,50,85,26,3
166,Female,36,85,75,5
167,Male,42,86,20,3
168,Female,33,86,95,2
169,Female,36,87,27,3
170,Male,32,87,63,17
171,Male,40,87,13,3
172,Male,28,87,75,5
173,Male,36,87,10,3
174,Male,36,87,92,8
175,Female,52,88,13,3
176,Female,30,88,86,8
177,Male,58,88,15,3
178,Male,27,88,69,5
179,Male,59,93,14,11
180,Male,35,93,90,8
181,Female,37,97,32,13
182,Female,32,97,86,8
183,Male,46,98,15,11
184,Female,29,98,88,8
185,Female,41,99,39,13
186,Male,30,99,97,8
187,Female,54,101,24,11
188,Male,28,101,68,17
189,Female,41,103,17,11
190,Female,36,103,85,8
191,Female,34,103,23,11
192,Female,32,103,69,17
193,Male,33,113,8,23
194,Female,38,113,91,22
195,Female,47,120,16,21
196,Female,35,120,79,16
197,Female,45,126,28,20
198,Male,32,126,74,16
199,Male,32,137,18,19
200,Male,30,137,83,18
